Number,Product,Link
1,Network Cable,https://www.amazon.com/Ethernet-2000Mhz-Network-Weatherproof-Resistant/dp/B08D9FBLQG/
1,Amcrest Camera Power,https://www.amazon.com/100-240V-Supply-Adapter-Switching-5-52-1mm/dp/B013HJI0Q6/
1,4G Jetson Nano,https://www.amazon.com/NVIDIA-Jetson-Nano-Developer-945-13450-0000-100/dp/B084DSDDLT/
1,5V 4A Power Supply Adapter ,https://www.amazon.com/COOLM-Adapter-Converter-100V-240V-Switching/dp/B07H9XRZBP/
1,Sensor Extension Cable ,https://www.amazon.com/StarTech-USBINT5PIN-Internal-Motherboard-Header/dp/B003HHROBG
1,Amcrest Camera,https://www.amazon.com/Amcrest-5-Megapixel-NightVision-Weatherproof-IP5M-T1179EW-28MM/dp/B083G9KT4C/
1,Desktop Microphone ,https://www.amazon.com/Microphone-Condenser-Indicator-Gooseneck-Recording/dp/B07N2WRHMY/
1,Micro SD Card ,https://www.amazon.com/Silicon-Power-Nintendo-Switch-Compatible-microsdxc/dp/B091B2MX9S/
1, TPH Sensor (BME 680),https://www.sparkfun.com/products/15743/
1,Linux WiFi Adapter,https://www.amazon.com/BrosTrend-600Mbps-Wireless-Internet-AC2/dp/B01GC8XH0S/ref=asc_df_B01GC8XH0S/
1,Short Circuit Shunt,https://www.amazon.com/TOTOT-Standard-Lengthened-Connection-Circuit/dp/B07H8XKY71/
1,USB/USB-C Card Reader,https://www.amazon.com/UGREEN-Reader-Adapter-Portable-Windows/dp/B07D1J88CF/
1,USB to Ethernet Adapter,https://www.amazon.com/uni-Ethernet-Internet-Compatible-Notebook/dp/B087QFQW6F
